outage,earliest,latest,possible_duration_hours,probably_ended,min_estCustAffected,max_estCustAffected,region,latitude,longitude
650123,1570621827,1570811457,52.67,1,97,97,Redding,40.61905,-122.32276
650124,1570621827,1570826433,56.84,1,128,128,Yankee Hill,39.69452,-121.52522
650125,1570621827,1570923625,83.83,1,294,294,Volcano,38.47381,-120.62655
650126,1570621827,1570621827,0.0,1,1,1,Camanche North Shore,38.24058,-120.95091
650127,1570621827,1570843826,61.67,1,95,95,Pollock Pines,38.77541,-120.4024
650128,1570623018,1570623627,0.17,1,1,1,Placerville,38.6495,-120.69742
650129,1570621827,1570756815,37.5,1,44,44,Sausalito,37.83228,-122.52599
650130,1570621827,1570621827,0.0,1,1,1,San Leandro,37.72231,-122.1508
650131,1570621827,1570827036,57.0,1,124,124,Paradise,39.6987,-121.57416
650133,1570621827,1570811457,52.67,1,244,244,Redding,40.65388,-122.33336
650134,1570622425,1570622425,0.0,1,1,1,Nevada City,39.23498,-120.97997
650135,1570621827,1570621827,0.0,1,1,1,Placerville,38.7388,-120.77792
650136,1570621827,1570623627,0.5,1,1,1,Placerville,38.69459000000001,-120.69965
650137,1570621827,1570623627,0.5,1,1,18,Camino,38.73775,-120.67264
650138,1570621827,1570635629,3.83,1,0,158,San Jose,37.31842,-121.83963
650139,1570621827,1570756815,37.5,1,16,16,Sausalito,37.83061,-122.52577
650140,1570621827,1570843826,61.67,1,216,987,Kyburz,38.76631,-120.31795
650141,1570621827,1570816215,54.0,1,283,536,Redding,40.65889,-122.34098
650142,1570621827,1570827036,57.0,1,134,394,Oroville,39.65654,-121.57623
650144,1570622425,1570622425,0.0,1,59,59,Grass Valley,39.23752,-121.05918
650145,1570622425,1570687826,18.17,1,2170,2170,Eureka,40.79367,-124.17955
650146,1570622425,1570623627,0.33,1,1,1,Placerville,38.68709000000001,-120.65652
650147,1570622425,1570836630,59.5,1,34,34,Lakeport,39.07884,-122.93394
650148,1570622425,1570756815,37.33,1,20,20,Sausalito,37.8302,-122.52622
650149,1570622425,1570834832,59.0,1,246,253,Shasta Lake,40.66534,-122.38668
650150,1570622425,1570827640,57.0,1,260,260,Oroville,39.65646,-121.5745
650152,1570622425,1570843826,61.5,1,117,117,Kyburz,38.77308,-120.2934
650153,1570622425,1570636843,4.0,1,1,1,Mad River,40.45719,-123.51191
650154,1570622425,1570825219,56.33,1,70,70,Oroville,39.6514,-121.58876
650155,1570622425,1570630837,2.34,1,6,6,Escalon,37.77309,-120.99563
650156,1570622425,1570692031,19.34,1,3774,3774,Eureka,40.79366,-124.1796
650157,1570622425,1570827640,57.0,1,64,64,Butte Valley,39.64701,-121.63448
650158,1570622425,1570821620,55.33,1,703,1900,Auburn,38.95657,-121.04269
650159,1570622425,1570763458,39.18,1,757,757,Palo Cedro,40.55547,-122.23994
650160,1570622425,1570844413,61.66,1,208,208,Kyburz,38.78712,-120.20591
650161,1570622425,1570687826,18.17,1,1677,1677,Eureka,40.79366,-124.17969
650162,1570622425,1570622425,0.0,1,1,1,Grass Valley,39.22694,-121.03842
650163,1570622425,1570827640,57.0,1,189,189,Butte Valley,39.65697,-121.63122
650164,1570622425,1570623627,0.33,1,1,1,Somerset,38.63759,-120.63823
650165,1570622425,1570622425,0.0,1,41,41,McKinleyville,40.92338,-124.08
650166,1570622425,1570623627,0.33,1,393,393,Auburn,38.96613,-121.03545
